MuonNeutrino_150 sqrts= 150:
Pythia               5.91314  +- 0        pb
SHERPA-MC            5.57724  +- 0.000854738 pb
Whizard              5.57651  +- 0.00109645 pb

Tau_200 sqrts= 200:
KKMC                 0        +- 0        pb
MadGraph5_aMC@NLO    2.8426   +- 0.00221664 pb
Pythia               3.05378  +- 2.08332e-08 pb
SHERPA-MC            2.84453  +- 0.000319865 pb
Whizard              2.84343  +- 0.000501544 pb

Tau_350 sqrts= 350:
KKMC                 0        +- 0        pb
MadGraph5_aMC@NLO    0.88313  +- 0.000659918 pb
Pythia               0.963145 +- 0        pb
SHERPA-MC            0.882446 +- 8.57359e-05 pb
Whizard              0.882283 +- 0.000148996 pb

Tau_91.2 sqrts= 91.2:
KKMC                 0        +- 0        pb
MadGraph5_aMC@NLO    2006     +- 0.699293 pb
Pythia               1993.63  +- 0        pb
SHERPA-MC            2010.31  +- 0.139265 pb
Whizard              2005.99  +- 0.219619 pb

